city,asn,announced_prefix,sub_prefix,origin_asn,starttime,endtime,full_peers_seeing
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-08-10T00:00:00,2022-08-11T23:59:59,361.5
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-08-12T00:00:00,2022-08-13T23:59:59,356.17
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-08-14T00:00:00,2022-08-15T23:59:59,360.67
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-08-16T00:00:00,2022-09-28T23:59:59,358.17
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-09-29T00:00:00,2022-09-30T23:59:59,359.83
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-10-01T00:00:00,2022-10-02T23:59:59,355.67
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-10-03T00:00:00,2022-10-04T23:59:59,358.17
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-10-05T00:00:00,2022-10-08T23:59:59,360.0
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-10-09T00:00:00,2022-10-16T23:59:59,362.83
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-10-17T00:00:00,2022-10-18T23:59:59,365.17
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-10-19T00:00:00,2022-10-20T23:59:59,363.5
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-10-21T00:00:00,2022-10-22T23:59:59,367.17
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-10-23T00:00:00,2022-11-07T23:59:59,369.67
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-11-08T00:00:00,2022-11-13T23:59:59,372.67
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-11-14T00:00:00,2022-11-15T23:59:59,374.83
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-11-16T00:00:00,2022-11-23T23:59:59,378.5
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-11-24T00:00:00,2022-11-29T23:59:59,380.17
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-11-30T00:00:00,2022-12-03T23:59:59,374.83
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-12-04T00:00:00,2022-12-05T23:59:59,377.0
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-12-06T00:00:00,2022-12-11T23:59:59,374.17
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-12-12T00:00:00,2022-12-13T23:59:59,372.0
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-12-14T00:00:00,2022-12-15T23:59:59,375.0
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-12-16T00:00:00,2022-12-19T23:59:59,377.67
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-12-20T00:00:00,2022-12-27T23:59:59,375.5
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2022-12-28T00:00:00,2022-12-31T23:59:59,371.83
Kherson,21219,195.114.133.0/24,195.114.133.0/24,21219,2023-01-01T00:00:00,2023-01-02T23:59:59,373.83
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-10-02T00:00:00,2021-10-05T23:59:59,342.0
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-10-06T00:00:00,2021-10-07T23:59:59,329.5
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-10-08T00:00:00,2021-10-13T23:59:59,337.17
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-10-14T00:00:00,2021-10-25T23:59:59,340.33
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-10-26T00:00:00,2021-10-29T23:59:59,342.67
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-10-30T00:00:00,2021-11-02T23:59:59,340.83
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-11-03T00:00:00,2021-11-14T23:59:59,338.67
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-11-15T00:00:00,2021-12-02T23:59:59,337.0
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-12-03T00:00:00,2021-12-06T23:59:59,339.5
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-12-07T00:00:00,2021-12-20T23:59:59,336.83
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-12-21T00:00:00,2021-12-22T23:59:59,334.67
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-12-23T00:00:00,2021-12-28T23:59:59,337.0
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-12-29T00:00:00,2021-12-30T23:59:59,334.83
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2021-12-31T00:00:00,2022-01-03T23:59:59,332.33
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2022-01-04T00:00:00,2022-01-11T23:59:59,336.0
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2022-01-12T00:00:00,2022-01-13T23:59:59,338.5
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2022-01-14T00:00:00,2022-01-15T23:59:59,341.83
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2022-01-16T00:00:00,2022-01-23T23:59:59,345.5
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2022-01-24T00:00:00,2022-01-29T23:59:59,348.67
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2022-01-30T00:00:00,2022-01-31T23:59:59,292.17
Kherson,21219,195.178.150.0/24,195.178.144.0/20,3319,2022-02-01T00:00:00,2022-02-02T23:59:59,11.25
Kherson,21219,195.178.150.0/24,195.178.144.0/21,3319,2022-01-28T00:00:00,2022-01-29T23:59:59,257.67
Kherson,21219,195.178.150.0/24,195.178.144.0/21,3319,2022-01-30T00:00:00,2022-02-06T23:59:59,347.83
Kherson,21219,195.178.150.0/24,195.178.144.0/21,3319,2022-02-07T00:00:00,2022-02-08T23:59:59,346.17
Kherson,21219,195.178.150.0/24,195.178.144.0/21,3319,2022-02-09T00:00:00,2022-03-02T23:59:59,343.67
Kherson,21219,195.178.150.0/24,195.178.144.0/21,3319,2022-03-03T00:00:00,2022-03-20T23:59:59,346.0
Kherson,21219,195.178.150.0/24,195.178.144.0/21,3319,2022-03-21T00:00:00,2022-04-01T23:59:59,344.33
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-10-02T00:00:00,2021-10-05T23:59:59,342.0
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-10-06T00:00:00,2021-10-07T23:59:59,339.67
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-10-08T00:00:00,2021-10-13T23:59:59,337.17
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-10-14T00:00:00,2021-10-25T23:59:59,340.33
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-10-26T00:00:00,2021-10-29T23:59:59,342.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-10-30T00:00:00,2021-11-02T23:59:59,340.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-11-03T00:00:00,2021-11-04T23:59:59,284.0
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-11-05T00:00:00,2021-11-14T23:59:59,338.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-11-15T00:00:00,2021-12-02T23:59:59,337.0
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-12-03T00:00:00,2021-12-06T23:59:59,339.5
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-12-07T00:00:00,2021-12-20T23:59:59,336.67
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-12-21T00:00:00,2021-12-22T23:59:59,334.67
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-12-23T00:00:00,2021-12-28T23:59:59,337.0
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-12-29T00:00:00,2021-12-30T23:59:59,334.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2021-12-31T00:00:00,2022-01-03T23:59:59,332.33
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-01-04T00:00:00,2022-01-11T23:59:59,336.0
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-01-12T00:00:00,2022-01-13T23:59:59,338.5
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-01-14T00:00:00,2022-01-15T23:59:59,342.0
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-01-16T00:00:00,2022-01-23T23:59:59,345.5
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-01-24T00:00:00,2022-02-04T23:59:59,348.67
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-02-05T00:00:00,2022-02-08T23:59:59,346.33
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-02-09T00:00:00,2022-03-02T23:59:59,343.67
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-03-03T00:00:00,2022-03-20T23:59:59,346.0
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-03-21T00:00:00,2022-04-01T23:59:59,344.33
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-04-02T00:00:00,2022-04-05T23:59:59,347.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-04-06T00:00:00,2022-04-11T23:59:59,345.5
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-04-12T00:00:00,2022-04-21T23:59:59,348.67
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-04-22T00:00:00,2022-05-05T23:59:59,351.33
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-05-06T00:00:00,2022-05-11T23:59:59,354.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-05-12T00:00:00,2022-05-15T23:59:59,351.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-05-16T00:00:00,2022-05-19T23:59:59,350.17
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-05-20T00:00:00,2022-05-23T23:59:59,347.17
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-05-24T00:00:00,2022-05-25T23:59:59,340.0
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-05-26T00:00:00,2022-05-29T23:59:59,336.0
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-05-30T00:00:00,2022-06-06T23:59:59,338.33
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-06-07T00:00:00,2022-06-08T23:59:59,340.33
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-06-09T00:00:00,2022-06-14T23:59:59,344.83
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-06-15T00:00:00,2022-06-16T23:59:59,347.5
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-06-17T00:00:00,2022-06-24T23:59:59,351.5
Kherson,21219,195.178.150.0/24,195.178.150.0/24,21219,2022-06-25T00:00:00,2022-07-22T23:59:59,354.0
